# Running with 1 servers, 0.5 reads
threads, write throughput, write avglatency, read throughput, read avglatency
# Running with 2 servers, 0.5 reads
threads, write throughput, write avglatency, read throughput, read avglatency
50, 40417.5, 1823.75, 40443.100000000006, 3091.75
100, 55461.6, 3024.0, 55380.8, 4164.5
150, 58823.09999999999, 4649.25, 58752.1, 5528.25
200, 63240.0, 6032.5, 63157.99999999999, 6598.0
250, 67988.2, 7201.75, 68035.7, 7472.0
400, 71122.6, 11842.5, 71076.7, 10630.0
600, 74667.4, 17340.75, 74800.4, 14749.0
800, 77310.20000000001, 22384.5, 77274.6, 18973.75
1500, 83495.4, 40718.5, 83482.6, 31117.0
2000, 82504.3, 53967.75, 82439.20000000001, 43019.25
2500, 83334.29999999999, 66318.25, 83229.6, 53718.0
3000, 83852.8, 78857.0, 83828.6, 64295.5
3500, 82574.2, 94468.25, 82474.4, 75235.0
4000, 79251.29999999999, 111355.25, 79178.1, 90465.75
4500, 79277.0, 125112.75, 79347.8, 101655.25
5000, 80707.4, 135489.25, 80902.2, 111852.25
5500, 81611.0, 147286.75, 81605.7, 122249.5
6000, 80434.6, 161405.5, 80355.7, 137542.25
6500, 80391.0, 175171.0, 80283.5, 148122.25
7000, 79597.5, 191162.5, 79721.09999999999, 160213.25
7500, 79503.9, 207184.0, 79645.5, 169301.5
8000, 79759.8, 217868.25, 79471.59999999999, 183290.75
8500, 78799.5, 233371.5, 78833.6, 197819.25
# Highest throughput 167681.40000000002 at 3000 threads
# Running with 3 servers, 0.5 reads
threads, write throughput, write avglatency, read throughput, read avglatency
50, 33619.5, 2138.25, 33611.5, 3780.25
100, 46201.0, 3542.25, 46155.200000000004, 5090.5
150, 54753.2, 4862.25, 54724.5, 6070.0
200, 63122.49999999999, 5749.75, 63103.09999999999, 6897.5
250, 68467.70000000001, 6918.75, 68258.6, 7680.75
400, 73090.0, 11747.5, 73136.0, 10106.0
600, 78299.9, 17092.25, 78258.8, 13537.25
800, 80247.4, 22803.25, 80323.5, 17019.0
1500, 83909.5, 42096.75, 84074.4, 29316.0
2000, 84161.7, 56532.75, 84204.3, 38406.0
2500, 81637.4, 74384.5, 81652.2, 48144.5
3000, 83923.0, 83811.0, 83901.6, 59204.5
3500, 84111.9, 98615.75, 83942.1, 68052.0
4000, 82649.5, 112103.5, 82445.1, 81974.25
4500, 83074.5, 127225.25, 83132.5, 89360.5
5000, 83083.6, 139551.0, 83126.2, 100971.0
5500, 84722.70000000001, 152692.25, 84719.1, 106613.75
6000, 82701.0, 165803.0, 82545.4, 124834.0
6500, 85071.5, 179346.0, 84932.3, 127128.75
7000, 81988.6, 191241.0, 81967.09999999999, 150538.25
7500, 81323.3, 209451.75, 81284.4, 159512.25
8000, 83609.4, 218464.0, 83787.0, 163584.0
8500, 84729.5, 229496.75, 84571.20000000001, 172380.75
# Highest throughput 170003.8 at 6500 threads
# Running with 1 servers, 0.95 reads
threads, write throughput, write avglatency, read throughput, read avglatency
50, 8759.300000000001, 1051.0, 165791.0, 1142.5
100, 8861.3, 1894.25, 168949.59999999998, 2259.5
150, 8646.4, 2870.5, 163409.3, 3511.0
200, 8731.7, 3606.0, 165981.1, 4621.25
250, 8794.8, 4412.75, 166803.4, 5753.75
400, 8924.3, 6703.25, 169238.1, 9091.75
600, 9012.8, 9754.75, 171268.1, 13490.5
800, 9025.9, 12837.75, 172288.7, 17893.0
1500, 8865.1, 24144.25, 168610.2, 34300.25
2000, 8870.699999999999, 32164.25, 168697.0, 45722.5
2500, 8822.1, 40103.0, 167854.90000000002, 57461.0
3000, 8749.0, 48457.5, 165681.0, 69853.5
3500, 8700.800000000001, 57056.25, 165143.0, 81756.5
4000, 8669.8, 65154.5, 165279.2, 93457.5
4500, 8612.3, 74044.5, 163957.8, 105895.75
5000, 8537.1, 82960.0, 162418.09999999998, 118813.25
5500, 8410.2, 93058.25, 160136.3, 132454.25
6000, 8470.8, 101591.5, 160576.0, 144182.25
6500, 8397.099999999999, 110097.5, 159254.3, 157498.25
7000, 8427.099999999999, 118038.75, 160005.90000000002, 168796.75
7500, 8304.8, 128632.25, 157749.2, 183427.25
8000, 8237.7, 139306.5, 156318.3, 197157.5
# Highest throughput 181314.6 at 800 threads
# Running with 2 servers, 0.95 reads
threads, write throughput, write avglatency, read throughput, read avglatency
50, 3866.9999999999995, 1481.5, 73491.7, 2632.5
100, 6281.299999999999, 1996.25, 118919.2, 3248.5
150, 7720.0, 2657.5, 147359.2, 3923.5
200, 8994.5, 3360.0, 170879.0, 4495.5
250, 9893.2, 4194.75, 187376.00000000003, 5106.0
400, 11256.699999999999, 6471.75, 214185.30000000002, 7121.25
600, 12064.5, 9814.75, 229047.9, 9953.25
800, 12434.800000000001, 13293.25, 235173.7, 12895.25
1500, 12251.800000000001, 26284.25, 232941.40000000002, 24377.5
2000, 12894.1, 33240.5, 244290.30000000002, 30985.5
2500, 12765.1, 42067.75, 242699.2, 39041.5
3000, 11569.8, 56631.5, 219620.09999999998, 51628.75
# Highest throughput 257184.40000000002 at 2000 threads
# Running with 3 servers, 0.95 reads
threads, write throughput, write avglatency, read throughput, read avglatency
50, 3457.9, 1613.25, 66030.8, 2933.5
100, 5415.7, 2245.75, 102452.8, 3775.5
150, 6833.7, 2869.25, 129638.30000000002, 4467.0
